style,gen,storage,price,condition,size,model,time,year,wifi,cellular,unlocked,color,id,url
mini,4,128gb,349.89,new,,7.9,,,wi-fi,cellular,,gray,v1|362827560746|0,https://www.ebay.com/itm/apple-ipad-mini-4-128gb-wi-fi-cellular-brand-new-sealed-7-9in-space-gray/362827560746?hash=item547a35372a:g:ucsaaoswe2jepdj2
ipad,7,128gb,290.00,used,,10.2,,,wi-fi,,,gray,v1|303444520994|0,https://www.ebay.com/itm/apple-ipad-7th-gen-10-2-wi-fi-128gb-space-gray-used-excellent/303444520994?hash=item46a6b3f022:g:zqyaaoswmmvdxade
pro,3,64gb,979.99,new,mtxn2ll/a,11,,,wi-fi,,,,v1|274302831840|0,https://www.ebay.com/itm/apple-ipad-pro-3rd-gen-64gb-wi-fi-11in-mtxn2ll-a-brand-new-bonus/274302831840?hash=item3fddb90ce0:g:0bsaaoswe0deyccx
mini,4,128gb,289.85,manufacturer refurbished,,7.9,,,wi-fi,cellular,unlocked,gray,v1|183392275799|0,https://www.ebay.com/itm/apple-ipad-mini-4-128gb-wi-fi-cellular-unlocked-7-9in-space-gray-r/183392275799?hash=item2ab3080d57:g:zawaaoswcqzzb~q9
ipad,4,16gb,99.95,open box,,,,,wifi,,,black,v1|273483507064|0,https://www.ebay.com/itm/apple-ipad-4th-generation-bundle-included-16gb-black-wifi-only-open-box/273483507064?hash=item3face32578:g:2wqaaosw7obehpam
mini,2,32gb,105.00,used,,7.9,,,wi-fi,,,gray,v1|114145423924|0,https://www.ebay.com/itm/apple-ipad-mini-2-32gb-wi-fi-7-9in-space-gray-grade-a/114145423924?hash=item1a9398f234:g:0t8aaosw35zez74p
ipad,7,32gb,275.00,used,,10.2,,,wi-fi,,,gray,v1|233523213586|0,https://www.ebay.com/itm/apple-ipad-7th-gen-32gb-wi-fi-10-2-in-space-gray/233523213586?hash=item365f117512:g:vdaaaoswi6beasfv
air,other,32gb,150.00,used,,9.7,,,wi-fi,,,gold,v1|274303296488|0,https://www.ebay.com/itm/apple-ipad-air-2-32gb-wi-fi-9-7in-gold/274303296488?hash=item3fddc023e8:g:gqgaaosw7szeaqhd
ipad,6,128gb,314.90,new,,9.7,,,wi-fi,,,gray,v1|372976548018|0,https://www.ebay.com/itm/apple-ipad-6th-gen-128gb-wi-fi-9-7in-space-gray-new-manufacturer-sealed/372976548018?hash=item56d72278b2:g:kawaaoswbpld-6dh
pro,3,other,943.00,new,,11,,,wi-fi,,,silver,v1|293507114394|0,https://www.ebay.com/itm/apple-ipad-pro-3rd-gen-1-tb-wi-fi-11in-silver/293507114394?hash=item445663259a:g:vcgaaoswqzfentp9
ipad,7,32gb,269.98,open box,mw742ll/a,,,,wi-fi,,,gray,v1|274287786695|0,https://www.ebay.com/itm/apple-ipad-7th-gen-32gb-wi-fi-10-2-space-gray-mw742ll-a-latest-model/274287786695?hash=item3fdcd37ac7:g:9q8aaoswnzlevvei
ipad,7,128gb,290.00,used,,10.2,,,wi-fi,,,gold,v1|283742743969|0,https://www.ebay.com/itm/apple-ipad-7th-gen-10-2-wi-fi-128gb-gold-used-excellent/283742743969?hash=item421062ada1:g:5bcaaoswdizdxz~k
