iphone,gen,pro,plus,storage,color,price,cellular,unlocked,model,gsm,title,url
"iphone","x","","","256gb","gray","469.99","at&t","unlocked","","gsm","apple iphone x 256gb space gray   factory gsm unlocked at&t/t mobile smartphone","https://www.ebay.com/itm/apple-iphone-x-256gb-space-gray-factory-gsm-unlocked-at-t-t-mobile-smartphone/352527832813?hash=item52144bd6ed:g:m2kaaoswvxbel408"
"iphone","7","","","32gb","black","139.99","","unlocked","","gsm","apple iphone 7   32gb   black   (gsm) unlocked","https://www.ebay.com/itm/apple-iphone-7-32gb-black-gsm-unlocked/112958969561?hash=item1a4ce116d9:g:svwaaoswnavecmzr"
"iphone","x","","","64gb","silver","424.99","verizon","unlocked","","gsm","apple iphone x   64gb   silver   verizon t mobile at&t gsm unlocked smartphone","https://www.ebay.com/itm/apple-iphone-x-64gb-silver-verizon-t-mobile-at-t-gsm-unlocked-smartphone/332905566289?hash=item4d82b7d051:g:x0waaoswxrbed2yv"
"iphone","7","","plus","128gb","black","244.99","at&t","unlocked","","","apple iphone 7 plus   unlocked  at&t / t mobile   128gb   jet black   smartphone","https://www.ebay.com/itm/apple-iphone-7-plus-unlocked-at-t-t-mobile-128gb-jet-black-smartphone/142921766417?hash=item2146cd1611:g:u60aaoswzoxd7otb"
"iphone","x","","","256gb","silver","469.99","at&t","unlocked","","gsm","apple iphone x   256gb silver   t mobile at&t metro gsm unlocked smartphone","https://www.ebay.com/itm/apple-iphone-x-256gb-silver-t-mobile-at-t-metro-gsm-unlocked-smartphone/233021837167?hash=item36412f0f6f:g:4s4aaosww3fel6i5"
"iphone","8","","plus","64gb","gold","369.99","","unlocked","","gsm","new apple iphone 8 plus   64gb   gold (t mobile) factory unlocked! any gsm!","https://www.ebay.com/itm/new-apple-iphone-8-plus-64gb-gold-t-mobile-factory-unlocked-any-gsm/132863908629?hash=item1eef4e5b15:g:mfcaaoswpftb9f4c"
"iphone","x","","","64gb","black","400.00","","unlocked","","","apple iphone x   64gb   black  unlocked a stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-unlocked-a-stock/184255340693?hash=item2ae6796095:g:sw4aaoswx~9ddse~"
"iphone","7","","","32gb","black","195.00","","","a1660","a1660","apple iphone 7   32gb   black (cricket) a1660","https://www.ebay.com/itm/apple-iphone-7-32gb-black-cricket-a1660/223983108657?hash=item34266f0231:g:sowaaoswgnteznmf"
"iphone","7","","","32gb","black","229.99","at&t","","a1778","gsm","brand new sealed apple iphone 7   32gb   black (at&t) a1778 (gsm) 1 year waranty","https://www.ebay.com/itm/brand-new-sealed-apple-iphone-7-32gb-black-at-t-a1778-gsm-1-year-waranty/202539698462?hash=item2f284e891e:g:bjqaaoswo2hbs9ch"
"iphone","x","","","64gb","black","349.99","at&t","unlocked","","","apple iphone x   64gb   black  t mobile at&t unlocked b stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-t-mobile-at-t-unlocked-b-stock/174179913658?hash=item288dee8fba:g:sw4aaoswx~9ddse~"
